drug,feature,beta,exp_beta_odds_ratio,ci_lower,ci_upper,ci_excludes_zero
amphet,nscore,0.03866014217729467,1.0394171695591508,-0.06773527548090987,0.19355558530848854,False
amphet,escore,0.0,1.0,-0.1409532923864071,0.12527532006287775,False
amphet,oscore,0.08501100476429015,1.088729047839021,-0.03744357644202348,0.24361155114239014,False
amphet,ascore,-0.10565233449068226,0.8997374013679064,-0.2435096352840447,0.0021839093593226323,False
amphet,cscore,-0.11247038422547023,0.8936238120779564,-0.2693397887306343,0.03594005950700292,False
amphet,impuslive,0.2283257000796265,1.2564944991531948,0.05377358333333034,0.4247049683270039,True
amphet,ss,0.25201415115855663,1.286614244238187,0.04531120537008319,0.45210943814993165,True
amyl,nscore,0.0,1.0,-0.00031213350381944604,0.18099272141250228,False
amyl,escore,0.0,1.0,-0.2007764801093891,0.03253803448400008,False
amyl,oscore,0.0,1.0,-0.06695256575311691,0.14587927492075162,False
amyl,ascore,-0.24956449826004273,0.7791400260326007,-0.4468053204601154,-0.026128792471050433,True
amyl,cscore,0.0,1.0,-0.18217668020990738,0.026909552272430293,False
amyl,impuslive,0.0,1.0,-0.15681227588317234,0.04461497531368289,False
amyl,ss,0.3382165277267218,1.4024441385725974,0.09617054453029279,0.6125470222098166,True
benzos,nscore,0.41747336352398823,1.5181209659672303,0.29211619071142303,0.5836137506595628,True
benzos,escore,0.007231344993088716,1.0072575543063997,-0.11096586526719687,0.1572414288391688,False
benzos,oscore,0.1581137160817953,1.1712993827111282,0.013601205444105202,0.30726945434378633,True
benzos,ascore,-0.08669273937874566,0.9169587976828033,-0.2263629838556315,0.013084789585372176,False
benzos,cscore,0.029014903673595716,1.0294399367976064,-0.0825770765661676,0.18524795669907065,False
benzos,impuslive,0.08842641292776647,1.09245385917151,-0.028598451722796923,0.26356515266696273,False
benzos,ss,0.20036294687298137,1.2218461429295855,0.00791970262274915,0.36237365231436325,True
cannabis,nscore,-0.12940229922342936,0.8786204261209157,-0.32479543515641274,0.028118496681572642,False
cannabis,escore,-0.05666807172044137,0.9449076588925862,-0.24538254029689308,0.11683206182983168,False
cannabis,oscore,0.5639331183527394,1.7575716611509078,0.40507154765163594,0.7452078530490099,True
cannabis,ascore,0.03668755766272489,1.037368852249985,-0.11461473621887155,0.1975316368739257,False
cannabis,cscore,-0.3888680305268855,0.6778237161504465,-0.5715414277527732,-0.22391038992240195,True
cannabis,impuslive,-0.013399116213302226,0.986690252345817,-0.20138819087099133,0.15136611846013912,False
cannabis,ss,0.5285813975829483,1.6965239078246264,0.34041576343797647,0.7532479024456045,True
coke,nscore,0.24085662264366628,1.272338597685332,0.08074478523412945,0.403532032155243,True
coke,escore,0.2868753842583711,1.3322581827893827,0.12761835057557058,0.4520866477279467,True
coke,oscore,0.029475111492587542,1.0299138021356067,-0.12710252800285246,0.18201943588232283,False
coke,ascore,-0.24378093167309683,0.7836592903895736,-0.39427276065564604,-0.10212823782011526,True
coke,cscore,-0.09201614260381012,0.9120904259118673,-0.25673428566865425,0.06211186443505916,False
coke,impuslive,0.1349781193271849,1.1445117413903907,-0.026441391400315442,0.32667539243754984,False
coke,ss,0.31861033689506707,1.3752153498048036,0.10260463018836395,0.5198758374824011,True
crack,nscore,0.3626680977623766,1.4371587838582127,-0.46219895547773426,2.0767839732798716,False
crack,escore,0.6103727495940152,1.8411175467110827,-0.8052187708915927,1.466299178942354,False
crack,oscore,-0.13754760181416806,0.8714928643683917,-1.245364416329618,1.5636465295855884,False
crack,ascore,-0.8233896317231763,0.4389412807340864,-1.8634534825595814,1.1573643785502006,False
crack,cscore,0.353737358600869,1.424381035920156,-1.5153358561402581,1.2064882677343869,False
crack,impuslive,0.17584469008955803,1.192252875583328,-0.4306290848577052,2.2232476039858016,False
crack,ss,0.15065840172627487,1.1625994482780255,-1.0899577437375993,1.588799929703135,False
ecstasy,nscore,0.03381099489694325,1.0343890834359344,-0.08901576575468878,0.21147111736301055,False
ecstasy,escore,0.16189979188128523,1.1757424164819468,0.0,0.3264583995965368,False
ecstasy,oscore,0.16528290338966756,1.1797268202228435,0.0,0.33196148308964735,False
ecstasy,ascore,0.016174042888227838,1.0163055507679468,-0.09127052969039308,0.15387631517737832,False
ecstasy,cscore,-0.17688879029364582,0.8378729589476743,-0.34280650849511324,-0.006844115295056605,True
ecstasy,impuslive,0.0,1.0,-0.13393851298979606,0.1692059287585976,False
ecstasy,ss,0.45797469080856856,1.580868992039151,0.26583171803769584,0.6582780825249107,True
heroin,nscore,0.3820555401071135,1.4652934654290264,0.1008862625032864,0.8218041610992676,True
heroin,escore,-0.12033520306800194,0.8866231880878058,-0.49306341297655765,0.21134589018014732,False
heroin,oscore,0.05226995524661523,1.0536601452079861,-0.2625758040494048,0.4206720886186818,False
heroin,ascore,-0.26860537937266626,0.764444861845215,-0.6882653965321357,0.08419164288156838,False
heroin,cscore,0.04010070091568617,1.0409155900678442,-0.3728871755882334,0.4160440936552013,False
heroin,impuslive,0.29214838376591407,1.3393017335307396,-0.0743731080387371,0.7611778811199097,False
heroin,ss,0.21012160619963766,1.233828091979418,-0.24612132357200586,0.7180745396800464,False
ketamine,nscore,0.09818510708288415,1.103166970229662,-0.08433549409938329,0.30278207914097116,False
ketamine,escore,0.003988465893091683,1.0039964304083941,-0.18773562015422748,0.19376146426142848,False
ketamine,oscore,0.1564853730855864,1.1693936575730033,-0.025273616499201176,0.3737960971858325,False
ketamine,ascore,-0.14567917951768422,0.8644349871525852,-0.3304961464567517,0.013152575764127053,False
ketamine,cscore,-0.1033968364322981,0.9017690476555812,-0.3148321303721109,0.0788154989208923,False
ketamine,impuslive,0.026366738255069234,1.026717415990292,-0.16159865369751172,0.2515719503710204,False
ketamine,ss,0.4018162471556984,1.4945366820766564,0.14042582848699137,0.6647948553774969,True
legalh,nscore,-0.029527533822275923,0.9709041445710006,-0.20201314212085691,0.11349896214131915,False
legalh,escore,-0.10328067297708848,0.9018738063484061,-0.2739569815257274,0.03465910667974598,False
legalh,oscore,0.33947935483447794,1.4042163017802591,0.1931602934639461,0.5173430138611664,True
legalh,ascore,-0.011952070611628424,0.9881190716697256,-0.15526235002214556,0.11722628717443484,False
legalh,cscore,-0.1454352448152973,0.8646458785647303,-0.30951237008120086,0.0011448448012731103,False
legalh,impuslive,0.0109865323240392,1.0110471058982249,-0.15933579525864944,0.2058970859343227,False
legalh,ss,0.5138074516948988,1.6716437966663715,0.3306488672701076,0.7140698902906978,True
lsd,nscore,-0.13519014006671437,0.8735497990791284,-0.3063766605964351,0.0,False
lsd,escore,-0.013799837637817473,0.9862949436319669,-0.19494451968831697,0.10879566689027244,False
lsd,oscore,0.5078889881930937,1.6617794535393395,0.3112373302087827,0.6845418750183156,True
lsd,ascore,0.07261493685384543,1.075316392470743,-0.059277363736697855,0.23875979192058028,False
lsd,cscore,0.0,1.0,-0.14390034415140374,0.15751729807612994,False
lsd,impuslive,-0.06468953118448656,0.9373584387698698,-0.2533404105517406,0.07069196157612533,False
lsd,ss,0.31896451721956776,1.3757025102898925,0.13582067786024477,0.5698776903702473,True
meth,nscore,0.24626711119763584,1.2792412275662595,0.05940472241025797,0.43064832704590145,True
meth,escore,-0.10177147470720838,0.9032359403431893,-0.3095823525404254,0.07532381492009106,False
meth,oscore,0.1364851028817543,1.1462378020085036,-0.03177298743237226,0.33860661647664825,False
meth,ascore,-0.1938356240215666,0.823793304970492,-0.3659902277217763,-0.0227751326393017,True
meth,cscore,-0.0077760458721813025,0.9922541093590778,-0.18616411847708894,0.1592413325293178,False
meth,impuslive,0.039766603115133,1.0405678805463685,-0.14795381174470015,0.2413082364375753,False
meth,ss,0.1732670353448473,1.1891836167459118,-0.04282993804256571,0.4081405455765714,False
mushrooms,nscore,-0.12380476238727968,0.8835523266913209,-0.2941540980968505,0.06713902069759854,False
mushrooms,escore,0.06122304602577352,1.0631360160071301,-0.11517808184330361,0.23865810793780057,False
mushrooms,oscore,0.37738228947511165,1.458461757390885,0.20000199937288768,0.5813937177959193,True
mushrooms,ascore,-0.037778087272684606,0.9629266028518119,-0.19883763213756728,0.1359676768443921,False
mushrooms,cscore,-0.037084575076385906,0.9635946358127584,-0.22328624597652985,0.1538583629596608,False
mushrooms,impuslive,0.08625567357534843,1.090084998608322,-0.10951038043258891,0.2832970662818521,False
mushrooms,ss,0.23508800825711965,1.2650200960478328,0.020236289087204658,0.45853520875398085,True
nicotine,nscore,0.04076935025085287,1.0416118303294615,-0.07335548734486422,0.18016495481646352,False
nicotine,escore,-0.025318674809282297,0.9749991548459986,-0.16316225470328594,0.09271180817890805,False
nicotine,oscore,0.15942279767047393,1.1728337132306685,0.028674788630019644,0.28194170074236574,True
nicotine,ascore,0.0,1.0,-0.12182583615193689,0.10845314386839763,False
nicotine,cscore,-0.19833635934533742,0.8200939604732342,-0.3321866948703161,-0.0614787137677544,True
nicotine,impuslive,0.0,1.0,-0.15124962890291238,0.12960806854906665,False
nicotine,ss,0.39982056129616605,1.4915570305668127,0.2488976288673093,0.5686051889568873,True
vsa,nscore,0.03100219714710898,1.0314877702144052,0.0,0.2545276706743054,False
vsa,escore,0.0,1.0,0.0,0.0,False
vsa,oscore,0.0,1.0,0.0,0.06465204579171949,False
vsa,ascore,0.0,1.0,-0.19164756372832714,0.0,False
vsa,cscore,-0.06060726437434359,0.9411928071461012,-0.26128371184535804,0.0,False
vsa,impuslive,0.0,1.0,0.0,0.21040233598805597,False
vsa,ss,0.19652691837624384,1.2171680846256725,0.0,0.4682375910723192,False
